작업신고번호,공사현장명,위치_소재지,건물명_설비명,해체제거업자사업체명,해체시작년월일,해체종료년월일,변경사유발생일자,순번,종류명,면적_부피_길이(제곱미터)
부 산 청-20220368,5공학관 잔여 석면재 철거공사,(48548)부산광역시 남구 신선로 365(용당동) 5공학관,부경대학교5공학관,(주)이레이앤시,2022-09-16,2022-09-30,,9,개스킷,0.2 ㎡
부 산 청-20220368,5공학관 잔여 석면재 철거공사,(48548)부산광역시 남구 신선로 365(용당동) 5공학관,부경대학교5공학관,(주)이레이앤시,2022-09-16,2022-09-30,,3,천장재,143.3 ㎡
부 산 청-20220286,2022년도 부산항 감만부두 운영건물(4B) 유지보수공사 중 석면 해체#8901;제거 공사,"(48481)부산광역시 남구 북항로 59(감만동) 5동 3, 4층",부산항만공사 5동,우성건설,2022-08-01,2022-09-30,,3,천장재,㎡
부 산 청-20220286,2022년도 부산항 감만부두 운영건물(4B) 유지보수공사 중 석면 해체#8901;제거 공사,"(48481)부산광역시 남구 북항로 59(감만동) 5동 3, 4층",부산항만공사 5동,우성건설,2022-08-01,2022-09-30,,5,벽   재,1024.75 ㎡
부 산 청-20220305,부산항 용당CY CFS창고 석면해체공사,(48560)부산광역시 남구 신선로356번길 9(용당동) 용당CY CFS창고,용당CY CFS창고,(주)다올,2022-08-16,2022-09-05,,5,벽   재,0 ㎡
부 산 청-20220305,부산항 용당CY CFS창고 석면해체공사,(48560)부산광역시 남구 신선로356번길 9(용당동) 용당CY CFS창고,용당CY CFS창고,(주)다올,2022-08-16,2022-09-05,,3,천장재,0 ㎡
부 산 청-20220305,부산항 용당CY CFS창고 석면해체공사,(48560)부산광역시 남구 신선로356번길 9(용당동) 용당CY CFS창고,용당CY CFS창고,(주)다올,2022-08-16,2022-09-05,,2,내화피복재,0 ㎡
부 산 청-20220305,부산항 용당CY CFS창고 석면해체공사,(48560)부산광역시 남구 신선로356번길 9(용당동) 용당CY CFS창고,용당CY CFS창고,(주)다올,2022-08-16,2022-09-05,,1,분무재(쁨칠재),0 ㎡
부 산 청-20220305,부산항 용당CY CFS창고 석면해체공사,(48560)부산광역시 남구 신선로356번길 9(용당동) 용당CY CFS창고,용당CY CFS창고,(주)다올,2022-08-16,2022-09-05,,7,파이프보온재,0 ㎡
부 산 청-20220305,부산항 용당CY CFS창고 석면해체공사,(48560)부산광역시 남구 신선로356번길 9(용당동) 용당CY CFS창고,용당CY CFS창고,(주)다올,2022-08-16,2022-09-05,,6,바닥재,0 ㎡
부 산 청-20220305,부산항 용당CY CFS창고 석면해체공사,(48560)부산광역시 남구 신선로356번길 9(용당동) 용당CY CFS창고,용당CY CFS창고,(주)다올,2022-08-16,2022-09-05,,9,개스킷,0 ㎡
부 산 청-20220305,부산항 용당CY CFS창고 석면해체공사,(48560)부산광역시 남구 신선로356번길 9(용당동) 용당CY CFS창고,용당CY CFS창고,(주)다올,2022-08-16,2022-09-05,,10,기타,0 ㎡
부 산 청-20220305,부산항 용당CY CFS창고 석면해체공사,(48560)부산광역시 남구 신선로356번길 9(용당동) 용당CY CFS창고,용당CY CFS창고,(주)다올,2022-08-16,2022-09-05,,8,단열재,0 ㎡
